size	bubble	plug	stratified	wave	slug	annular
1	1.32492	0.0197	0.67877	0.04761	0.08138	0.86561
2	1.15128	0.03282	1.06369	0.06998	0.11325	1.2036
3	1.00785	0.04479	1.35721	0.08897	0.13715	1.37553
4	0.89917	0.05661	1.56471	0.10335	0.15661	1.47613
5	0.87011	0.06628	1.72692	0.11443	0.17328	1.52217
6	0.88302	0.07331	1.88825	0.12481	0.18377	1.57987
7	0.88389	0.08341	1.99206	0.13731	0.2014	1.60511
8	0.88273	0.08838	2.0833	0.14564	0.22093	1.63926
9	0.85087	0.09268	2.13829	0.14906	0.23761	1.70248
10	0.90056	0.09984	2.21688	0.15863	0.25891	1.7433
11	0.85238	0.10046	2.17689	0.16409	0.28011	1.80068
12	0.85648	0.10921	2.29784	0.16653	0.30161	1.80538
13	0.85661	0.10732	2.41633	0.17323	0.31964	1.90711
14	0.85862	0.12207	2.39464	0.17762	0.34222	1.94169
15	0.85707	0.12185	2.39648	0.18071	0.35958	1.85857
16	0.84049	0.12314	2.39966	0.18961	0.37388	1.98117
17	0.80253	0.12396	2.45034	0.19698	0.40452	2.00624
18	0.7814	0.13266	2.4077	0.19745	0.42358	2.08251
19	0.77839	0.14271	2.344	0.1974	0.44054	2.085
20	0.78921	0.14842	2.39758	0.20276	0.48725	2.06888

scale_factor	bubble3	bubble1	bubble2
1	0.20103	2.46547	1.2507
2	0.07737	2.13753	1.0728
3	0.10089	1.94586	0.92823
4	0.11614	1.79302	0.85528
5	0.14096	1.69515	0.82431
6	0.16266	1.62425	0.82275
7	0.18547	1.54793	0.81719
8	0.20143	1.48041	0.80865
9	0.22801	1.43522	0.76368
10	0.24645	1.37567	0.80682
11	0.27211	1.3572	0.7535
12	0.28048	1.28066	0.72577
13	0.31008	1.25495	0.72831
14	0.32721	1.17737	0.7249
15	0.35172	1.22413	0.67344
16	0.37013	1.15024	0.67602
17	0.37683	1.12522	0.66599
18	0.40407	1.1325	0.69638
19	0.43044	1.08796	0.70659
20	0.45174	1.05063	0.69248

scale_factor	plug2 plug1
1	0.01625	0.02555
2	0.02708	0.04374
3	0.0355	0.05972
4	0.0446	0.07468
5	0.05254	0.08922
6	0.06134	0.09925
7	0.0681	0.11149
8	0.07564	0.11436
9	0.07463	0.12532
10	0.07434	0.14042
11	0.0889	0.13959
12	0.08278	0.15037
13	0.0868	0.15858
14	0.09506	0.16763
15	0.09873	0.17355
16	0.10717	0.18191
17	0.11174	0.18736
18	0.11375	0.20044
19	0.12078	0.20976
20	0.12562	0.21429

scale_factor	stratified2	stratified1
1	0.67734	0.52268
2	1.06974	0.81532
3	1.34125	1.0503
4	1.57046	1.23638
5	1.71378	1.42533
6	1.86519	1.53992
7	1.9835	1.68282
8	2.06159	1.78131
9	2.11981	1.87217
10	2.16418	1.8847
11	2.16143	1.97768
12	2.31136	1.99924
13	2.38525	2.04807
14	2.39003	2.06412
15	2.28138	2.06588
16	2.38029	2.16352
17	2.29578	2.07927
18	2.44922	2.12352
19	2.3712	2.19655
20	2.41459	2.19527

scale_factor	wave2	wave1
1	0.04763	0.01491
2	0.07073	0.01763
3	0.08921	0.02305
4	0.1032	0.02788
5	0.11556	0.03318
6	0.12513	0.03748
7	0.13473	0.04186
8	0.14293	0.04684
9	0.14834	0.05055
10	0.15783	0.05282
11	0.16171	0.05708
12	0.16656	0.06021
13	0.17557	0.06401
14	0.17873	0.0668
15	0.18137	0.07185
16	0.19059	0.07558
17	0.19431	0.08075
18	0.19521	0.08266
19	0.19711	0.08389
20	0.20104	0.08905

scale_factor	slug2	slug1
1	0.08984	0.08138
2	0.1316	0.11325
3	0.16324	0.13715
4	0.19918	0.15661
5	0.21451	0.17328
6	0.27245	0.18377
7	0.30089	0.2014
8	0.29912	0.22093
9	0.35404	0.23761
10	0.36387	0.25891
11	0.41099	0.28011
12	0.42734	0.30161
13	0.47549	0.31964
14	0.51921	0.34222
15	0.54002	0.35958
16	0.552	0.37388
17	0.6482	0.40452
18	0.65445	0.42358
19	0.68937	0.44054
20	0.66413	0.48725

scale_factor	annular2	annular1
1	0.95908	0.86561
2	1.31393	1.20499
3	1.49011	1.37064
4	1.63264	1.47396
5	1.69794	1.54659
6	1.79448	1.56715
7	1.80153	1.63032
8	1.80666	1.66253
9	1.94492	1.72321
10	2.13626	1.72135
11	1.87329	1.78417
12	2.06913	1.82891
13	2.11467	1.79806
14	2.04071	1.93176
15	2.24272	1.87631
16	2.71852	1.98459
17	2.28344	2.05623
18	2.42037	2.04035
19	2.45372	2.06662
20	2.74579	2.07301


